distance,Hard,Hard_GW,Standard,Standard_GW,Soft,pslibrary.1.0.0 PAW (precision),pslibrary.1.0.0 PAW (efficiency),AVDZ,AVTZ,AVQZ,AV5Z,AV6Z
1.5,0.6828855,0.68301299,0.67740647,0.67689969,0.6665202,0.6800883242634771,0.6783571344896029,0.69101034791585,0.68710632850132,0.6853218049549,0.68493621943107,0.684841203756606
1.6,0.45946742,0.45954917,0.45546177,0.45512458,0.44752813,0.457340908935902,0.4560716328118522,0.46493015371814,0.4626237155389,0.46120436896706,0.4609828681792,0.460916125964506
1.7,0.30205284,0.30210007,0.29902531,0.29881335,0.29291496,0.3004165288737939,0.2994690276490082,0.30606973424215,0.3045853524267,0.30328519178248,0.30317634618648,0.303124149280823
1.8,0.19220229,0.19222876,0.18985569,0.1897348,0.18494581,0.1909204083587876,0.1902033877592839,0.19550628262328,0.19432313099476,0.19307766526253,0.19303331068216,0.192995506429614
1.9,0.11639147,0.11640704,0.11453812,0.11448194,0.11052229,0.115375009146049,0.114823842077911,0.11923735716411,0.1181682212974,0.11702615888137,0.11700765513005,0.11698402393511
2.0,0.06477354,0.06478367,0.06328479,0.06327047,0.05997278,0.06395211491170229,0.0635225828371198,0.06715582793407,0.0662189394665,0.06524395504033,0.06522545128901,0.0652188862671971
2.1,0.03021815,0.03022507,0.02900311,0.02901486,0.02624936,0.02954029630172297,0.02919892918885253,0.03210346431222,0.03136821231124,0.03058098653817,0.03054887708735,0.0305536994911336
2.2,0.00759598,0.00760215,0.00658719,0.00661636,0.00428078,0.007024761019970427,0.00674965368543502,0.00902438836436,0.00850709966937,0.00788613554419,0.00783470600008,0.00784734242952664
2.3,-0.00675474,-0.00674878,-0.00760042,-0.0075593,-0.00954947,-0.007238370572279682,-0.00746476948641783,-0.0056790189713,-0.00600609998728,-0.00650270801903,-0.00657372977042,-0.00656744611414955
2.4,-0.0154281,-0.01542275,-0.01614525,-0.01609623,-0.01780266,-0.01583635914275073,-0.01602588659906007,-0.01460082036143,-0.01478640210261,-0.01520083170938,-0.01528763607219,-0.0152869141535152
2.5,-0.02025029,-0.02024575,-0.02086588,-0.02081311,-0.0222824,-0.02060298147385671,-0.02076012735473078,-0.01960254761162,-0.01967520204695,-0.02003167137385,-0.02013044875222,-0.0201420027124171
2.6,-0.02249963,-0.02249601,-0.02303039,-0.02297783,-0.02425092,-0.02280778580297601,-0.02294112170214554,-0.02200912373918,-0.02197810274432,-0.02228722423696,-0.02239797463089,-0.0224157902060926
2.7,-0.02306701,-0.02306356,-0.02353008,-0.02347939,-0.02458538,-0.02333949671446189,-0.0234526961714343,-0.0227324027246,-0.0225990668695,-0.02285866361596,-0.02297784954358,-0.0230006965063709
2.8,-0.02256866,-0.02256564,-0.02297327,-0.02292497,-0.02389078,-0.02280941848758822,-0.02290683532799604,-0.02238464104538,-0.02215307203989,-0.0223514431386,-0.02248287419577,-0.0225127550330533
2.9,-0.02142525,-0.02142239,-0.02177919,-0.02173327,-0.02258085,-0.0216398721737169,-0.02172422753858049,-0.0214099287332,-0.02108148714727,-0.02121645568631,-0.02135768284712,-0.0213741471045375
3.0,-0.01992134,-0.01991902,-0.02023445,-0.02019101,-0.02093545,-0.02011222373134346,-0.02018542241879702,-0.02003493674173,-0.01964363682411,-0.01971248166358,-0.01985860687621,-0.0198719905308667
3.1,-0.01824711,-0.01824556,-0.01852304,-0.01848292,-0.01914088,-0.01841790541510478,-0.0184808998246021,-0.0184629342215,-0.01803734794114,-0.01804197387897,-0.01818755486362,-0.0181985705819756
