distance,Hard,Hard_GW,Standard,Standard_GW,Soft,pslibrary.1.0.0 PAW (precision),pslibrary.1.0.0 PAW (efficiency),AVDZ,AVTZ,AVQZ,AV5Z,AV6Z
1.5,0.40584687,0.40710767,0.39240182,0.39167715,0.35865947,0.3977724157882676,0.3926999372320097,0.4221326732734013,0.4088455305467695,0.4074768703758157,0.4068224022157728,0.4067728755648783
1.6,0.24611158,0.24708752,0.23530794,0.23484453,0.20778091,0.2394674649438002,0.2358318847841474,0.2585490659643263,0.2488639660572115,0.2472824392749442,0.2467899766280096,0.246768988747571
1.7,0.14048278,0.1412432,0.13159841,0.13137196,0.10878504,0.1349768829213644,0.1320184586488722,0.1499744944104503,0.1432331309939623,0.1413649345717628,0.1409628660159129,0.1409649438778357
1.8,0.07161531,0.07222029,0.06421004,0.06414986,0.04501831,0.06700414642773467,0.06481063483261096,0.0788923919480947,0.0743315201101746,0.0723117659909997,0.0719579816138984,0.0719759724298781
1.9,0.02757202,0.02806251,0.02134683,0.02138954,0.00506037,0.02367637394490885,0.02195076250995953,0.0331039172473137,0.0301152060288003,0.0281515239913154,0.0278213084937654,0.0278485800303043
2.0,0.0001703,0.00057467,-0.00510153,-0.00500117,-0.01903021,-0.003149312299228768,-0.004862134372842775,0.0042694363935109,0.0024176718475394,0.0006775921351414,0.0003564698710884,0.0003909230404522
2.1,-0.0161759,-0.01583723,-0.02067351,-0.02054521,-0.03268616,-0.01902893758074242,-0.02100203677127865,-0.0132267579111901,-0.0142787900528315,-0.0157155121920795,-0.0160311508147457,-0.0159916126517242
2.2,-0.02526018,-0.02497262,-0.02912929,-0.02899118,-0.03955569,-0.02773237035717102,-0.02898681626356847,-0.0231684297472561,-0.0237038991935388,-0.0248350223557182,-0.0251406991571528,-0.0251044320761198
2.3,-0.02964605,-0.02939929,-0.03300059,-0.03286221,-0.04210667,-0.03180224458765224,-0.03289002062047075,-0.0281416454368266,-0.02838362960614,-0.0292493306048687,-0.0295378840891187,-0.0295165919846823
2.4,-0.03105319,-0.03084042,-0.03398021,-0.03384724,-0.04197626,-0.0329440352650181,-0.0338976590569473,-0.0299333255808395,-0.0300289654852291,-0.0306800286840594,-0.0309452385971302,-0.0309451792762271
2.5,-0.03062457,-0.03044064,-0.03319229,-0.03306831,-0.04024857,-0.03229136964546342,-0.03312852861108695,-0.0297693521399661,-0.0297942290739683,-0.0302736199087915,-0.0305120170706602,-0.0305328678050565
2.6,-0.02911589,-0.02895609,-0.03138387,-0.0312707,-0.0376333,-0.03059487441669262,-0.03133665739755997,-0.028469636130597,-0.0284503312756399,-0.0287879390214388,-0.0289989919925448,-0.0290369358392045
