distance,Hard,Hard_GW,Standard,Standard_GW,Soft,pslibrary.1.0.0 PAW (precision),pslibrary.1.0.0 PAW (efficiency),AVDZ,AVTZ,AVQZ,AV5Z,AV6Z
1.5,0.31384772,0.31535788,0.30080285,0.30092406,0.26902036,0.305579757475698,0.3014342355311328,0.3277355448215319,0.3163964054673568,0.3151744090219692,0.3146229975048743,0.314583478663567
1.6,0.16987481,0.17107834,0.15942996,0.15971987,0.13367031,0.1631057234924356,0.1600569573456596,0.1802354849645631,0.1721262227515,0.1707514405600245,0.1703381682537198,0.1703231772222273
1.7,0.07689345,0.0778603,0.06834493,0.06878117,0.04716936,0.07130490945451129,0.06865492649103544,0.0845768216335964,0.0791057197909919,0.077491104221678,0.0771547185389184,0.0771599755084386
1.8,0.01810849,0.01890022,0.01102563,0.01154398,-0.00662542,0.01344951049441079,0.01128933287418477,0.0238367800736346,0.0202750713506497,0.0185346879602705,0.0182359125127295,0.0182550108334653
1.9,-0.01790803,-0.01724964,-0.02382138,-0.0232731,-0.03865714,-0.02182559003335882,-0.02360576034152473,-0.0136495278110126,-0.0159007529732981,-0.0175788385894829,-0.0178635985328402,-0.0178373787168872
2.0,-0.03889818,-0.0383436,-0.04387501,-0.04333167,-0.05645001,-0.04222312537717698,-0.04371104516326341,-0.0357933730110049,-0.0371608723446929,-0.0386214194220289,-0.038904406270384,-0.0388742122323476
2.1,-0.05009158,-0.04961864,-0.05431406,-0.05379517,-0.06507144,-0.05293748120107011,-0.05366715510513131,-0.047883318673347,-0.0486752283456888,-0.0498427581804168,-0.0501251515490532,-0.0500940159945033
2.2,-0.05499768,-0.05459023,-0.0586086,-0.05812629,-0.06788006,-0.05745375857873114,-0.0585238471962839,-0.0534496710231833,-0.0538951735991694,-0.0547669098149442,-0.0550423490370067,-0.0550185404237294
2.3,-0.05595957,-0.05560542,-0.0590714,-0.05862784,-0.06711568,-0.05809581174935374,-0.058771607065637,-0.0548707199397802,-0.0551269326772681,-0.0557416950534112,-0.0560017250046231,-0.0559939371032284
2.4,-0.05452513,-0.05421601,-0.05722768,-0.05682072,-0.0642477,-0.05639496269554911,-0.05794492449217614,-0.0537563328778265,-0.0539106225992942,-0.0543195304688796,-0.0545572930613545,-0.0545680880952574
2.5,-0.05171194,-0.05144124,-0.05407315,-0.05370305,-0.06023271,-0.05335490419906819,-0.05405206047066713,-0.051183559864109,-0.0512697674827305,-0.0515181648339308,-0.0517298891091214,-0.0517573709903962
2.6,-0.04817836,-0.04793996,-0.05025208,-0.04991852,-0.0556872,-0.0496325196484122,-0.05024151095813068,-0.0478533747046802,-0.0478763351393298,-0.0479975330791674,-0.0481828476035493,-0.0482229362525172
2.7,-0.04434564,-0.0441346,-0.04617957,-0.04587766,-0.05099793,-0.04563802101802139,-0.04617748718078474,-0.0442055511580366,-0.0441629930728825,-0.0441800739399911,-0.0443405292194492,-0.0443884634603994
2.8,-0.04048059,-0.04029247,-0.04210952,-0.04183747,-0.04640126,-0.04163454262311461,-0.04211400763097117,-0.0405057690741608,-0.0404005548392801,-0.0403310506666227,-0.0404686200728459,-0.0405198044422081
