distance,Hard,Hard_GW,Standard,Standard_GW,Soft,pslibrary.1.0.0 (precision),pslibrary.1.0.0 (efficiency),AVDZ,AVTZ,AVQZ,AV5Z,AV6Z,pslibrary.1.0.0 PAW (precision),pslibrary.1.0.0 PAW (efficiency)
1.5,0.03529975,0.03609899,0.02124262,0.02097123,-0.01044974,,,0.0471056528089,0.03837297064182,0.03668940138569,0.03625483534366,0.0362152201731052,0.02756474808438725,0.02334330631174453
1.6,-0.07571495,-0.07507701,-0.08742366,-0.08742768,-0.11401378,,,-0.06655173487627,-0.07323730349658,-0.07480495219297,-0.0750816921208,-0.0751004266247827,-0.0822032143960314,-0.08568722701352272
1.7,-0.13981115,-0.13930126,-0.14976772,-0.14951322,-0.1721843,,,-0.13229746811416,-0.13750164817291,-0.13919419719071,-0.13938277218578,-0.139385737139784,-0.1452636114693178,-0.148172102808303
1.8,-0.17331285,-0.17289797,-0.18188745,-0.1814368,-0.20094091,,,-0.16677213373524,-0.17105820119173,-0.17286748711124,-0.17302313631352,-0.173014048250631,-0.1779266889475366,-0.1801343504746455
1.9,-0.18721972,-0.18687611,-0.19464617,-0.19407499,-0.210986,,,-0.18140696834542,-0.18509302445396,-0.18686475864285,-0.187023945327,-0.187005232319479,-0.1911506168698907,-0.1929880671916635
2.0,-0.18889719,-0.18860628,-0.19535473,-0.19472538,-0.20944999,,,-0.18383368090824,-0.1870103396275,-0.18857798832389,-0.18876112103916,-0.188737866994042,-0.1922681893947811,-0.1940524414137599
2.1,-0.18323601,-0.18298587,-0.18887545,-0.18823082,-0.20109442,,,-0.17898814708831,-0.18165486419031,-0.18292754132154,-0.18313979023374,-0.18311115486277,-0.1861468471186072,-0.1881513754856314
2.2,-0.17344502,-0.17322664,-0.17839183,-0.17775911,-0.18905373,,,-0.16998933743901,-0.17216869838492,-0.17312926076962,-0.17336436725698,-0.173341155116929,-0.1759729098566822,-0.1773167452381585
2.3,-0.16159323,-0.16140046,-0.16595322,-0.16534768,-0.17531454,,,-0.15882450042931,-0.16058861542648,-0.16127325422532,-0.16152305486814,-0.161504138591923,-0.1638027437070377,-0.164980453443377
2.4,-0.14898825,-0.14881743,-0.15284979,-0.15227909,-0.16111531,,,-0.14676087091064,-0.14820497985557,-0.14865832176291,-0.14891220411558,-0.148908147712316,-0.1509283463199154,-0.1519671418184316
2.5,-0.13642995,-0.13627883,-0.13986583,-0.13933262,-0.14720207,,,-0.13462132158876,-0.13582733079244,-0.13609726787052,-0.13635006176723,-0.136353073253518,-0.1381392566963768,-0.1390634921674518
2.6,-0.1243862,-0.12425149,-0.12745486,-0.126961,-0.13399879,,,-0.12290354895138,-0.12393785422737,-0.124056768041,-0.12429786103614,-0.12430780081664,-0.1259020144264014,-0.1267233907753962
2.7,-0.11310878,-0.11298788,-0.11586002,-0.11540533,-0.12172331,,,-0.11188891886416,-0.11278226909333,-0.11277682681353,-0.11300485833715,-0.113026749635061,-0.1144571683557842,-0.1151924205987598
2.8,-0.10271392,-0.10260488,-0.10519145,-0.1047741,-0.11046463,,,-0.1017325363014,-0.10251214288275,-0.10240656265463,-0.102614185629,-0.102627480302474,-0.1039157410291409,-0.1045807878394953
2.9,-0.09323339,-0.09313483,-0.09547392,-0.09509074,-0.10023407,,,-0.09243304069315,-0.09311577469406,-0.09293481889071,-0.0931146862381,-0.0931429556160998,-0.09431106642159648,-0.0949093092253861
3.0,-0.08464984,-0.08456023,-0.0866818,-0.08633005,-0.09099556,,,-0.08399723488916,-0.08461221250656,-0.08437384065132,-0.08452704082769,-0.0845548016242008,-0.08561470861127418,-0.08615975311249713
3.1,-0.07691584,-0.07683463,-0.0787644,-0.0784418,-0.08268827,,,-0.07640062863033,-0.07694866620619,-0.07668145026801,-0.07680281310755,-0.0768171499771506,-0.07778802739926505,-0.07828354713774388
