distance,Hard,Hard_GW,Standard,Standard_GW,Soft,pslibrary.1.0.0 PAW (precision),pslibrary.1.0.0 PAW (efficiency),AVDZ,AVTZ,AVQZ,AV5Z,AV6Z
1.5,0.37466294,0.37505129,0.36677904,0.36609866,0.34664419,0.3660381997203785,0.3683087196000088,0.3855222244018781,0.3777396260539837,0.3759924128726751,0.3755312384359855,0.3754582267152053
1.6,0.20242328,0.20270568,0.19599788,0.19563495,0.17976226,0.1953502895162273,0.1971515486657154,0.2106321455678349,0.2047481387735676,0.2032231708853696,0.2029381366499275,0.2028846915580261
1.7,0.08865512,0.08885686,0.08326562,0.08315197,0.06984111,0.08280172931426932,0.08425509061316916,0.0952783755952561,0.0906678239062766,0.0891072028266446,0.0889342980585407,0.0888927734642912
1.8,0.01516776,0.01531566,0.01057018,0.01062798,-0.00078399,0.01027325890117936,0.01146879210955376,0.0209166127363408,0.0170250471627995,0.0154040249398215,0.0152847179216344,0.0152553516523456
1.9,-0.03079758,-0.03068577,-0.03474895,-0.03458342,-0.04448241,-0.03538312981686431,-0.03393208148781923,-0.0256583084021817,-0.0291137089918589,-0.0306801285493944,-0.0307899621913649,-0.0308052383981492
2.0,-0.05814396,-0.05805732,-0.06155953,-0.06133434,-0.06994208,-0.0616622749328144,-0.06082579625217477,-0.0536338775006596,-0.0567011270766592,-0.0580863690579609,-0.0582117202715306,-0.0582125708994987
2.1,-0.07306,-0.07298983,-0.07602915,-0.07577566,-0.08328368,-0.07608377691917667,-0.07537560002697319,-0.0692550823307897,-0.0718918285262477,-0.0730277768122602,-0.0731771219506107,-0.0731656071741538
2.2,-0.07981434,-0.07975644,-0.08240996,-0.08214806,-0.08871975,-0.08221369078842145,-0.08183014599330818,-0.0767219764768068,-0.0789077236660408,-0.0797894002042276,-0.0799621030630091,-0.0799443378299566
2.3,-0.08133191,-0.0812826,-0.08361335,-0.08335244,-0.08912673,-0.08338514190063506,-0.08309901394613917,-0.0788768373672497,-0.0806426517158573,-0.0813022995662976,-0.0814939845518022,-0.0814777238370524
2.4,-0.07959583,-0.07955352,-0.08160812,-0.08135495,-0.08645024,-0.08161422347143343,-0.08115503096200882,-0.0776681198134379,-0.0790738946995826,-0.0795539119413943,-0.0797589492886298,-0.0797484372529133
2.5,-0.07593382,-0.07589837,-0.07771662,-0.07747552,-0.08198748,-0.07771863830885195,-0.07731386861541978,-0.0744355631659588,-0.0755416725211019,-0.0758779216015155,-0.0760907201835042,-0.0760867916744481
2.6,-0.071225,-0.07119498,-0.07281171,-0.07258582,-0.07659608,-0.07281446231081645,-0.07245676835304948,-0.0700864656735611,-0.0709413773529987,-0.0711579564147941,-0.0713734228032382,-0.0713756212118378
2.7,-0.06604494,-0.06601948,-0.0674626,-0.0672533,-0.07082924,-0.06746714853397862,-0.06715176831585268,-0.0652165229569743,-0.0658584156408646,-0.0659702806134793,-0.0661833722632504,-0.0661908213838354
2.8,-0.06076036,-0.06073831,-0.06203119,-0.06183805,-0.06504085,-0.06203928898980848,-0.06175860331677541,-0.0602016847103696,-0.0606651032710062,-0.0606836331452557,-0.0608889679137111,-0.0609002481258107
2.9,-0.05559903,-0.05557964,-0.05674182,-0.0565638,-0.0594414,-0.05675578596469677,-0.05650203958566635,-0.0552677682660258,-0.0555885218158094,-0.0555260071647892,-0.0557181343347183,-0.0557312192079157
3.0,-0.0506949,-0.05067844,-0.05172593,-0.05156208,-0.05415661,-0.05174358067711182,-0.05151636542063898,-0.0505450541847584,-0.0507604302306737,-0.0506318756906587,-0.0508056634672106,-0.0508185524179322
3.1,-0.04611972,-0.04610551,-0.04705266,-0.04690229,-0.04924891,-0.04707315067344098,-0.04687001751290154,-0.0461014104141632,-0.0462495419233412,-0.0460721657804905,-0.0462233531290139,-0.0462346630023384
3.2,-0.04190516,-0.04189287,-0.04275163,-0.04261377,-0.04474331,-0.04277674147169819,-0.04259374475304867,-0.041974039292705,-0.042086615299452,-0.041878408368972,-0.0420039704709739,-0.0420134501054986
3.3,-0.03805964,-0.03804926,-0.03883008,-0.03870313,-0.04063988,-0.03885965929703161,-0.03869312548022208,-0.0381713630189376,-0.0382764267752286,-0.0380547450306971,-0.0381529806302413,-0.0381610044563941
3.4,-0.03457455,-0.03456576,-0.03527736,-0.03516139,-0.03692623,-0.03530938690141738,-0.0351598602148897,-0.0346999272958911,-0.0348121895550607,-0.03459156279716,-0.0346628906780742,-0.0346702233331852
3.5,-0.03143027,-0.03142288,-0.03207353,-0.03196613,-0.03357949,-0.03232973773060621,-0.03197476491391171,-0.0315445623134327,-0.0316744910292592,-0.0314669651986783,-0.0315134000914679,-0.0315205798194222
3.6,-0.02860499,-0.0285978,-0.02919334,-0.02909557,-0.03057485,-0.02900817721911153,-0.02910749885813857,-0.028698482907041,-0.0288462402595726,-0.0286590767199198,-0.0286837879355941,-0.028691523319637
3.7,-0.02607097,-0.02606572,-0.02661152,-0.02652105,-0.02788096,-0.02665153323346203,-0.0265384698334401,-0.026138975452352,-0.0262996514160568,-0.0261377430474818,-0.0261461230705145,-0.0261540149207671
3.8,-0.02380276,-0.0237982,-0.02429998,-0.02421746,-0.02546902,-0.02434264526868901,-0.02424019431759916,-0.0238462311374206,-0.0240142650640237,-0.0238788048151308,-0.0238739573757735,-0.0238825953622134
