distance,Hard,Hard_GW,Standard,Standard_GW,soft,DZ,TZ,QZ,5Z,6Z
1.5,6.06365859,6.06784702,6.04158247,6.04571541,6.06942771,6.1087178982,6.088499679,6.08791308,6.0861493924,6.085938482
1.6,4.21354285,4.21610175,4.20612576,4.2082589,4.24517172,4.2454319097,4.2315355898,4.230481529,4.22957385742,4.229422603
1.7,2.90417504,2.90567463,2.90409632,2.90482333,2.94269465,2.925060935,2.9177919458,2.915849702,2.91546158335,2.91537614
1.8,1.98905761,1.98988248,1.99240734,1.99230993,2.02662422,2.0009767313,1.9996224363,1.99706651,1.99695837506,1.9969255826
1.9,1.35483079,1.35522873,1.35954262,1.35903307,1.388578,1.3600479918,1.3629599163,1.360299771,1.36033345845,1.3603245168
2.0,0.91800892,0.91814239,0.92300004,0.92233103,0.94711534,0.9188799773,0.9240420722,0.921716507,0.92181684103,0.9218111919
2.1,0.61865557,0.61863168,0.6234026,0.62271577,0.64319499,0.6172722241,0.6229241976,0.621148368,0.62127755152,0.6212758154
2.2,0.41441167,0.41430122,0.41868854,0.41805581,0.43484495,0.4123173627,0.4173047877,0.416071771,0.41620737917,0.4162218692
2.3,0.27563823,0.275485,0.27937729,0.27882829,0.29255815,0.2737748405,0.277566768,0.276731536,0.27685936682,0.27689869
2.4,0.18175091,0.18158006,0.18496686,0.18450695,0.19576471,0.1805652762,0.1830831688,0.182452966,0.18257017946,0.1826379195
2.5,0.11853256,0.11835791,0.12127662,0.12089991,0.13012929,0.1181372711,0.1195524815,0.118958683,0.11906700836,0.1191606918
2.6,0.07619804,0.07602918,0.07853201,0.07822888,0.08584589,0.0765196839,0.0771012759,0.076439767,0.07653415224,0.0766432019
2.7,0.04804123,0.04788365,0.05002683,0.0497861,0.05611346,0.0489146965,0.0489418943,0.048179148,0.04824459408,0.0483524056
2.8,0.02948117,0.02933872,0.0311768,0.03098696,0.03628096,0.0307058515,0.0304272176,0.029582815,0.02960033942,0.0296916309
2.9,0.01739635,0.01726917,0.01885343,0.01870405,0.02316565,0.0187715686,0.0183883532,0.017509417,0.01746456432,0.0175318064
3.0,0.00966167,0.00954898,0.01092062,0.01080472,0.01459529,0.0110137457,0.0106719624,0.009812381,0.00970024877,0.0097434333
3.1,0.00483242,0.00473318,0.00592469,0.00583348,0.00908599,0.0060343617,0.0058212883,0.005028117,0.00485466324,0.0048777385
3.2,0.00192442,0.00183741,0.00287915,0.00280777,0.00562441,0.0029085856,0.0028547016,0.002158849,0.00193900266,0.0019465865
3.3,0.00027206,0.00019592,0.00111396,0.00105758,0.00351629,0.0010236602,0.0011132102,0.000531553,0.00028528703,0.0002822502
3.4,-0.0005738,-0.00064092,0.00017192,0.0001276,0.00228895,-3.00577e-05,0.0001596765,-0.000307595,-0.00055967589,-0.0005695074
3.5,-0.00091508,-0.00097489,-0.00025226,-0.00028717,0.00162418,-0.0005371748,-0.000298792,-0.000661011,-0.00090067826,-0.0009135928
3.6,-0.00095412,-0.00100762,-0.00036055,-0.00038843,0.00131114,-0.000692141,-0.0004507514,-0.000724147,-0.00093763134,-0.0009509268
3.7,-0.00082463,-0.00087231,-0.00028792,-0.00031087,0.00121086,-0.0006427414,-0.0004258067,-0.000629236,-0.00080935408,-0.0008213679
3.8,-0.00061221,-0.00065531,-0.000126,-0.00014484,0.00123052,-0.0004771328,-0.0002991594,-0.000450825,-0.00059464254,-0.0006047543
3.9,-0.00037031,-0.00040923,7.001e-05,5.459e-05,0.00130858,-0.0002689493,-0.0001299099,-0.000245496,-0.00035560945,-0.0003638953
4.0,-0.00013149,-0.00016679,0.00026977,0.00025651,0.00140154,-5.35629e-05,5.51493e-05,-3.6801e-05,-0.00011824169,-0.0001249928
4.1,8.561e-05,5.37e-05,0.00045426,0.00044243,0.00148812,0.0001477035,0.0002336289,0.000155728,9.699231e-05,9.15092e-05
4.2,0.00027125,0.00024259,0.00061044,0.00060017,0.00155694,0.0003155162,0.0003889298,0.000319979,0.00027769777,0.0002735181
4.3,0.00042287,0.00039717,0.00073488,0.00072608,0.00160642,0.0004576059,0.000525727,0.000461777,0.00043095509,0.0004277659
4.4,0.00054178,0.00051866,0.00083073,0.00082259,0.00163705,0.0005643835,0.0006287194,0.000567654,0.00054438036,0.0005423422
4.5,0.00063063,0.00060954,0.00089965,0.00089184,0.00164937,0.0006434353,0.0007073766,0.000650396,0.00063288,0.0006314405
4.6,0.00069318,0.00067371,0.00094195,0.0009351,0.00164148,0.0006990363,0.0007620117,0.00070809,0.00069393693,0.0006930335
4.7,0.00073282,0.000715,0.0009628,0.00095688,0.00161414,0.0007315376,0.0007926953,0.000742599,0.00073108321,0.0007304574
4.8,0.00075353,0.00073693,0.00096893,0.00096306,0.00157094,0.0007472876,0.0008052941,0.000760316,0.00075169041,0.0007510237
4.9,0.00075942,0.00074389,0.00096196,0.0009563,0.00151862,0.0007513067,0.0008058765,0.000765416,0.00075816128,0.0007574402
5.0,0.00075394,0.00073929,0.00094254,0.00093759,0.00146248,0.0007425474,0.0007928259,0.000757152,0.00075138292,0.0007505693
