distance,Hard,Hard_GW,Standard,Standard_GW,soft,DZ,TZ,QZ,5Z,6Z
1.5,5.68240612,5.6860402,5.64778669,5.65168402,5.64569493,5.722708505,5.707704956,5.707967546,5.706617589,5.706442089
1.6,3.95809419,3.96019737,3.9419498,3.94390481,3.95859784,3.986831865,3.976322823,3.976099689,3.975465936,3.97532411
1.7,2.73205925,2.73317472,2.72602535,2.72658418,2.74859695,2.750938287,2.745781182,2.744582792,2.744350407,2.744268479
1.8,1.87310071,1.87360695,1.87241866,1.87214921,1.89525038,1.883808689,1.883705558,1.881770011,1.881750691,1.881716231
1.9,1.27725905,1.2773898,1.27925151,1.27856541,1.30021523,1.281805195,1.28541261,1.283234338,1.28332604,1.283307444
2.0,0.86691512,0.86682166,0.87008093,0.86923549,0.88843527,0.8674604878,0.8729841297,0.870996337,0.8711462718,0.8711321518
2.1,0.58590674,0.58568833,0.58943578,0.58857586,0.60516625,0.5844393528,0.5902473538,0.5886726301,0.5888511369,0.5888396999
2.2,0.39437621,0.394097,0.39785083,0.39705087,0.4111244,0.3923747679,0.3973843864,0.3962382423,0.3964216471,0.3964199573
2.3,0.26438112,0.26407985,0.26760432,0.26689496,0.27879791,0.262739663,0.26645157,0.2656221665,0.2657941426,0.2658154192
2.4,0.1765123,0.17621073,0.17940825,0.17879631,0.18881031,0.175653118,0.1780158838,0.1773326056,0.1774917923,0.1775288896
2.5,0.11737164,0.11707972,0.1199272,0.11940763,0.12787646,0.1173597706,0.118551902,0.1178816853,0.1180283547,0.1180975016
2.6,0.07775289,0.07747801,0.07998749,0.07955041,0.0867157,0.07848556602,0.07882108257,0.07805290478,0.07820175113,0.0782717062
2.7,0.05136096,0.05110432,0.05330558,0.05293923,0.05904554,0.05261704956,0.05239146706,0.05154682524,0.0516491401,0.0517255742
2.8,0.03389391,0.03366388,0.03559322,0.0352862,0.04051877,0.03549699788,0.03497045731,0.0340580591,0.03410894442,0.03415090712
2.9,0.02244573,0.02223801,0.02393132,0.02367285,0.02818315,0.02414848393,0.02353268997,0.02259063134,0.02258464483,0.02262114348
3.0,0.01503325,0.01484558,0.01633487,0.01611651,0.0200547,0.01666643766,0.01612465871,0.01522287294,0.01515076274,0.01514864297
3.1,0.01031107,0.01014197,0.01145587,0.01127004,0.0146988,0.01174552826,0.01135069086,0.01052346434,0.01038414197,0.01038490933
3.2,0.00736602,0.00721397,0.00837807,0.00821922,0.0112648,0.008551182136,0.008149814001,0.007614565782,0.007432793637,0.007412213656
3.3,0.00558226,0.00544529,0.00648148,0.00634412,0.00901609,0.00651849063,0.006357399148,0.005854260381,0.005651807572,0.005613300722
3.4,0.00454584,0.00442275,0.00534812,0.0052284,0.00764073,0.005238738535,0.005228942432,0.00479573696,0.004590835125,0.004567612917
3.5,0.00397964,0.00386697,0.00469792,0.00459253,0.00673554,0.004514643208,0.004566344866,0.004228107177,0.004038443726,0.003994900044
3.6,0.00369621,0.00359316,0.00434235,0.00424901,0.00619773,0.004118717353,0.004102390513,0.003912454948,0.003750819238,0.003710628002
3.7,0.00357968,0.00347927,0.00415794,0.00407426,0.00583101,0.003887964689,0.003862930202,0.003739662565,0.003607959393,0.003585858295
3.8,0.00353358,0.00344727,0.00406431,0.00398898,0.00559014,0.003810140088,0.003761975912,0.003677076347,0.003579659538,0.003549201819
3.9,0.00352985,0.00344889,0.00401141,0.00394312,0.0054111,0.003785105601,0.00370455986,0.003642245756,0.003576122057,0.003541827529
4.0,0.00352954,0.00345548,0.00396942,0.0039067,0.0052451,0.00374347216,0.003639252502,0.003596530606,0.003556529849,0.003541729569
4.1,0.00352042,0.00345131,0.00392179,0.00386409,0.00511774,0.003702927176,0.003592176782,0.003561427901,0.00354020301,0.003530085812
4.2,0.00349049,0.00342576,0.00385879,0.00380553,0.00493528,0.003659388938,0.003544556834,0.003520066575,0.003511358927,0.003495905574
4.3,0.00343941,0.00337927,0.00377924,0.00372985,0.00479498,0.003603333456,0.003482786958,0.003461017839,0.003462106295,0.003446881518
4.4,0.00336822,0.00331148,0.00368156,0.00363569,0.00459736,0.003247136243,0.003394077797,0.003377478844,0.003384553808,0.003370675994
4.5,0.00327946,0.00322625,0.00356853,0.00352575,0.00444494,0.003193529787,0.003282783175,0.0032735313,0.003285504315,0.003281691997
4.6,0.00317683,0.00312642,0.00344325,0.00340333,0.00423706,0.003128766657,0.003172032781,0.003167951072,0.003180196201,0.00317720839
4.7,0.0030635,0.00301607,0.00331039,0.00327294,0.00406645,0.003166590502,0.003057744906,0.00305937759,0.003070262149,0.003059916376
4.8,0.0029402,0.00289586,0.00317009,0.00313514,0.00386048,0.003030533507,0.002919238885,0.002930395558,0.002943184916,0.002936480027
4.9,0.00281524,0.00278063,0.00303995,0.00300769,0.00367711,0.0028786939,0.002780188636,0.002799780843,0.002812298087,0.002809530688
5.0,0.00268572,0.00265333,0.00289417,0.00286428,0.0034894,0.002741004221,0.002644675869,0.002672159382,0.002684404511,0.002678292831
