distance,Hard,Hard_GW,Standard,Standard_GW,soft,DZ,TZ,QZ,5Z,6Z
1.5,6.35432902,6.35885686,6.33643571,6.33826049,6.33591878,6.399310689,6.379231126,6.377927972,6.375979636,6.375687604
1.6,4.50769653,4.51037559,4.50512458,4.50581627,4.52976724,4.539627898,4.525801242,4.524464618,4.523237384,4.523055225
1.7,3.16258233,3.16409617,3.1672939,3.16708236,3.19962234,3.183245238,3.176287828,3.17422602,3.173531585,3.173424689
1.8,2.20405016,2.20483524,2.21182715,2.21110704,2.24439512,2.215185841,2.214709914,2.212055714,2.211713395,2.211657808
1.9,1.52907883,1.52940942,1.53779172,1.53685984,1.56788455,1.532938652,1.537350164,1.534541131,1.534410245,1.53437933
2.0,1.05714483,1.05719617,1.06573177,1.06476859,1.09250814,1.056238752,1.063355349,1.060841288,1.060821968,1.060799587
2.1,0.72870636,0.72859191,0.73668473,0.73578689,0.76006347,0.7253527661,0.7331267907,0.7311964141,0.7312241697,0.7312080203
2.2,0.50090963,0.50070473,0.50809578,0.50730677,0.52832988,0.4968439546,0.503863135,0.5025768521,0.502619574,0.502620983
2.3,0.34334953,0.34310064,0.34971356,0.34904486,0.36717771,0.3396426141,0.3452084337,0.3444435212,0.3444941344,0.3445261505
2.4,0.23464183,0.23437622,0.24022972,0.23967601,0.25531166,0.2318283301,0.235790854,0.2353317977,0.2353976493,0.235454885
2.5,0.15982768,0.15956136,0.1647165,0.16426554,0.17777099,0.1580598601,0.1605722886,0.1602185404,0.1603042563,0.1603902909
2.6,0.10847783,0.10822076,0.11275378,0.11239097,0.12409615,0.1077043499,0.1090660083,0.1086662729,0.1087672272,0.1088665447
2.7,0.07334325,0.07310219,0.07709136,0.0768019,0.08699052,0.07339676229,0.07392167018,0.07340546994,0.07350125407,0.07360927298
2.8,0.0493988,0.04917674,0.05269556,0.05246716,0.06137959,0.05005564057,0.05005536846,0.04941698904,0.04947467721,0.0495746557
2.9,0.03316443,0.03296267,0.03607861,0.03589739,0.04373574,0.03417887771,0.03391574349,0.03318294051,0.03317858669,0.03327329433
3.0,0.02223514,0.0220532,0.02482136,0.02467884,0.03160981,0.02339091858,0.02307553847,0.02230273473,0.02221701883,0.02229360286
3.1,0.01494515,0.0147827,0.01725047,0.01713862,0.02329877,0.01605744655,0.01584084381,0.01507157756,0.01490368323,0.01496760852
3.2,0.0101411,0.00999553,0.01220617,0.01211847,0.01762218,0.01108973355,0.01105027702,0.01032454901,0.0100812791,0.01014066907
3.3,0.00702558,0.00689542,0.00888491,0.00881632,0.01375892,0.007763956363,0.007910897917,0.007262450279,0.006962852776,0.00701251494
3.4,0.00504905,0.00493216,0.00672971,0.00667636,0.01113473,0.005558472474,0.005873852588,0.005313841997,0.004982679271,0.005030097854
3.5,0.00383204,0.00372689,0.00535726,0.00531581,0.00935388,0.004164704617,0.004575596742,0.004109737591,0.003770683559,0.003811577394
3.6,0.0031138,0.00301874,0.00450427,0.0044719,0.00814206,0.003304824409,0.003759254772,0.00338400958,0.003060193932,0.003092655769
3.7,0.00271591,0.00262988,0.00398686,0.00396179,0.00731123,0.002798964501,0.003256932346,0.002960600211,0.002669438242,0.002695938608
3.8,0.00251501,0.00243673,0.00368102,0.00366179,0.00673,0.002540184097,0.002959511755,0.00272386104,0.002474060397,0.002494822422
3.9,0.00243041,0.00235928,0.00350407,0.00348944,0.00630979,0.002425079879,0.002791345309,0.002603042428,0.002400045392,0.00241271121
4.0,0.00240967,0.00234525,0.00339954,0.00338826,0.0059904,0.002383990666,0.002699370781,0.002548075402,0.00238834449,0.002390603035
4.1,0.00241582,0.00235678,0.00333225,0.00332367,0.005729,0.002374738791,0.002644947983,0.002514877496,0.002393514656,0.002396511447
4.2,0.00242925,0.00237556,0.00327962,0.00327309,0.00550093,0.002387528148,0.002618552926,0.002497734314,0.002408480925,0.002411731327
4.3,0.00243548,0.00238656,0.00322631,0.00322243,0.00528939,0.002395963682,0.002597328035,0.002486305527,0.002419637599,0.002414157768
4.4,0.00242991,0.00238518,0.00316752,0.00316373,0.0050876,0.002391881972,0.00256902818,0.002465352749,0.002415828003,0.002412812436
4.5,0.00240799,0.00236723,0.0030979,0.00309551,0.00488899,0.002374466677,0.002532292791,0.002432154843,0.002394330998,0.002388431839
4.6,0.00237134,0.0023337,0.00301592,0.00301434,0.00469178,0.002338819744,0.002481135361,0.002385351236,0.002356235039,0.002352116595
4.7,0.00232038,0.00228555,0.00292414,0.00292328,0.00449346,0.002287934428,0.002417732801,0.002324941931,0.002301812241,0.002302983693
4.8,0.00225598,0.0022238,0.00282395,0.00282345,0.00429282,0.002227797236,0.002345078366,0.002260723029,0.002239770252,0.00223781484
4.9,0.00218248,0.00215243,0.00271573,0.00271592,0.00409345,0.002158952397,0.002261811485,0.002187252252,0.002169020614,0.00216496149
5.0,0.00210123,0.00207321,0.00260325,0.00260362,0.00389676,0.002077590314,0.002171741754,0.002101536345,0.002085753733,0.002084860928
