distance,Hard,Hard_GW,Standard,Standard_GW,soft,DZ,TZ,QZ,5Z,6Z
1.5,5.96562582,5.96920975,5.93242122,5.93340532,5.90831567,6.005959922,5.991995865,5.991128208,5.989588565,5.989410127
1.6,4.24686127,4.24884364,4.23253992,4.23257445,4.23545574,4.276096638,4.26597252,4.265282223,4.264352303,4.264237213
1.7,2.99166201,2.99263815,2.98780881,2.9870367,3.00278426,3.010971451,3.006084541,3.004675517,3.004170606,3.004118183
1.8,2.0947527,2.09510951,2.09638237,2.09515096,2.11565378,2.10544328,2.105944809,2.103861874,2.103641916,2.103630206
1.9,1.46193593,1.46191593,1.4662347,1.46482432,1.48621316,1.465898448,1.470631081,1.468280215,1.468233443,1.468234338
2.0,1.01892208,1.01868013,1.0243168,1.02290366,1.04337268,1.018409416,1.025517213,1.023327762,1.02336591,1.023366598
2.1,0.71033311,0.70996995,0.71598058,0.71465757,0.73342564,0.7074945688,0.7151469239,0.7133962804,0.7134641848,0.7134667732
2.2,0.49609798,0.49567741,0.50156166,0.50037389,0.51719834,0.4925947218,0.4994735763,0.4982308314,0.4983059969,0.4983177405
2.3,0.34769579,0.34725965,0.35277324,0.35172866,0.36664264,0.3445833154,0.3500099117,0.3491784965,0.3492602521,0.349284339
2.4,0.24504775,0.24461548,0.24966097,0.24875511,0.2619072,0.242845569,0.246656317,0.2460623373,0.2461589661,0.2461963747
2.5,0.17410725,0.17369277,0.1782465,0.17746682,0.18904189,0.1729598187,0.1753062834,0.1747795584,0.1748964863,0.1749452614
2.6,0.12509176,0.1247022,0.12878401,0.12811294,0.13830558,0.1249206959,0.1261014459,0.1255241708,0.1256547417,0.1257077595
2.7,0.0912156,0.09085436,0.0945006,0.09392399,0.10291781,0.09182421122,0.09217817383,0.09149823499,0.09162219706,0.09166940748
2.8,0.06778306,0.06745256,0.07070843,0.07021081,0.07817182,0.06892483581,0.06877427786,0.06799370446,0.06808425094,0.06811791144
2.9,0.05155234,0.05125226,0.05416159,0.05372953,0.06080584,0.05297452353,0.0525953531,0.051749382,0.05177837275,0.05180074814
3.0,0.04028701,0.04001383,0.04261845,0.04224162,0.04855627,0.04176428975,0.04136839056,0.04050548499,0.04046390352,0.04047267348
3.1,0.03243894,0.03219264,0.03452948,0.03419907,0.03985538,0.03380381239,0.0335287027,0.03269632587,0.0325803468,0.03258187445
3.2,0.02694274,0.02671951,0.02882293,0.0285312,0.03361635,0.02809371773,0.02800199545,0.02723893558,0.0270567841,0.02705629239
3.3,0.02305844,0.02285671,0.0247559,0.02449713,0.02908574,0.02396241646,0.0240537156,0.02338449397,0.02315439438,0.02315387247
3.4,0.02028166,0.02009678,0.02181509,0.02158404,0.02574066,0.02095012847,0.02118098699,0.02061741225,0.02036292961,0.0203623628
3.5,0.01825231,0.01808499,0.01964627,0.0194386,0.02321796,0.01873399295,0.01904401787,0.01858524375,0.01833002586,0.01832817385
3.6,0.01673488,0.01658235,0.01800517,0.01781846,0.02126395,0.0170787543,0.01740936844,0.01704565164,0.01680903927,0.01680513906
3.7,0.01556093,0.01542141,0.01672182,0.01655247,0.01970359,0.01581591899,0.016123198,0.01583930991,0.01563566143,0.01562916389
3.8,0.01461652,0.01448874,0.01568082,0.015526,0.01841469,0.01481613137,0.0150751379,0.0148534148,0.01468916271,0.01467986213
3.9,0.01382548,0.01370799,0.01480188,0.01465927,0.01731685,0.01399650172,0.01419840595,0.01402142736,0.01389843402,0.0138864395
4.0,0.01313644,0.01302628,0.01403353,0.01390314,0.01635226,0.01329072048,0.01343774639,0.01329042905,0.01320531696,0.01319105084
4.1,0.01251058,0.01241025,0.01334068,0.01321959,0.01548336,0.01266038393,0.01276130965,0.01263218912,0.01257839735,0.01256275733
4.2,0.0119307,0.01183909,0.01269838,0.01258707,0.01468425,0.01208200592,0.01214766131,0.01202789905,0.01199858829,0.0119827186
4.3,0.01138269,0.01129685,0.01209439,0.01198978,0.01393592,0.01153150626,0.01156918724,0.01145419786,0.01144252526,0.01142710864
4.4,0.01085669,0.01077835,0.01151835,0.01142185,0.01322909,0.01101073233,0.01103018358,0.01091813656,0.01091839752,0.01090381656
4.5,0.01035042,0.01027711,0.01096616,0.01087539,0.01255621,0.01050362532,0.01050817806,0.01039764726,0.01040532468,0.01039210049
4.6,0.00985933,0.00979186,0.01043332,0.01034921,0.01191601,0.01001417334,0.01000742328,0.009899616347,0.00991246448,0.009900228874
4.7,0.00938525,0.00932224,0.00992106,0.00984123,0.0113049,0.009540646563,0.009525268041,0.009421728669,0.009437088415,0.009426066982
4.8,0.00892715,0.00886822,0.00942842,0.00935343,0.01072221,0.009080255543,0.009058244243,0.008958557186,0.008974266871,0.008964565737
4.9,0.00848404,0.00842877,0.00895332,0.0088845,0.01016536,0.008636514633,0.00860766783,0.008513266588,0.008530819028,0.008521254768
5.0,0.00805899,0.00800701,0.00849843,0.00843227,0.00963222,0.008209384651,0.008175846602,0.008086929001,0.008104979683,0.008095679917
