distance,Hard,Hard_GW,Standard,Standard_GW,soft,DZ,TZ,QZ,5Z,6Z
1.5,4.77204273,4.77551153,4.72338909,4.72797962,4.65475096,4.816454631,4.784355248,4.785458126,4.78304638,4.791199791
1.6,3.29585267,3.29810822,3.26540695,3.26902188,3.22941993,3.327260751,3.303971875,3.304081537,3.302788724,3.309788004
1.7,2.25065998,2.2521156,2.23195644,2.23444749,2.21457681,2.271432075,2.256611387,2.255190135,2.254683459,2.260595655
1.8,1.52199018,1.52292762,1.51067129,1.51226151,1.50332506,1.534296229,1.526696357,1.524147738,1.524111002,1.529005204
1.9,1.01993019,1.0205255,1.01319002,1.0141505,1.01107725,1.025956819,1.023642489,1.020684882,1.020888151,1.024840866
2.0,0.67720467,0.67757523,0.67326325,0.67381318,0.67370421,0.6791154291,0.6799470094,0.6771989302,0.6774996162,0.6806102737
2.1,0.44504673,0.44527077,0.44279664,0.44309171,0.44431589,0.4447724936,0.4468944385,0.4446878661,0.4450141308,0.447394633
2.2,0.28887148,0.28900361,0.2876306,0.28777481,0.28946015,0.2878533353,0.2900139204,0.2883932095,0.288716753,0.2904906151
2.3,0.1845152,0.18459009,0.18387001,0.1839277,0.18564435,0.1836287791,0.1851877201,0.1840268818,0.1843409014,0.1856432226
2.4,0.11528832,0.11532481,0.1149862,0.11499662,0.11655284,0.1149515618,0.1157513048,0.1148514239,0.1151583685,0.1160841982
2.5,0.06975445,0.06976499,0.06964145,0.06962905,0.07095335,0.07003071224,0.07016105484,0.06936294451,0.0696603651,0.07032098439
2.6,0.04012072,0.04011512,0.0401101,0.0400885,0.04116948,0.04090934514,0.04062144854,0.03981326999,0.04008402341,0.04052960191
2.7,0.02110804,0.02109416,0.02115056,0.02112675,0.02198423,0.0222066785,0.02172149925,0.02086923824,0.02109400439,0.02140965934
2.8,0.00915483,0.00913812,0.00922077,0.00919891,0.00986563,0.01037026416,0.009918010708,0.009040170976,0.009186840416,0.009383331208
2.9,0.00186669,0.00184957,0.00194033,0.00192169,0.00243399,0.003009308615,0.002698010211,0.001831055039,0.001890920117,0.002042272639
3.0,-0.00236495,-0.00238203,-0.00229129,-0.00230665,-0.00191549,0.001387781349,-0.001485742385,-0.002279771008,-0.002314057371,-0.002230668039
3.1,-0.00462156,-0.00463707,-0.00455266,-0.00456442,-0.00426395,0.003887692575,-0.003782384461,-0.00447246554,-0.004587297643,-0.004517377955
3.2,-0.00562563,-0.00563909,-0.00556304,-0.00557148,-0.00533864,0.005114382442,-0.004863765457,-0.005418877997,-0.005592214608,-0.005544559286
3.3,-0.00585752,-0.00586942,-0.00579981,-0.00580601,-0.00562684,0.005523369769,-0.005194383955,-0.005604459738,-0.005811810598,-0.005791837432
3.4,-0.00563364,-0.00564434,-0.00558289,-0.00558735,-0.00545034,0.005486090152,-0.005121457406,-0.005407177095,-0.005629766339,-0.005581300116
3.5,-0.00516184,-0.00517179,-0.00511891,-0.00512186,-0.00501702,0.005076014369,-0.004747028556,-0.004925263219,-0.005134246763,-0.005121231551
3.6,-0.00457649,-0.00458547,-0.00453743,-0.00453973,-0.00445911,0.004544303633,-0.004268107933,-0.004368245881,-0.004551650711,-0.004543185245
3.7,-0.00396155,-0.00397026,-0.00392611,-0.00392779,-0.00386132,0.003985381498,-0.003759526886,-0.003803609352,-0.003956809529,-0.003937198273
3.8,-0.00336765,-0.00337471,-0.00333582,-0.00333672,-0.00327645,0.003404962357,-0.003214754678,-0.003228088263,-0.003348090533,-0.003344553052
3.9,-0.00281869,-0.00282627,-0.00279091,-0.00279185,-0.00273559,0.002851210387,-0.002702091921,-0.002703996719,-0.002789984739,-0.002802507425
4.0,-0.00233119,-0.00233771,-0.0023057,-0.00230686,-0.00225592,0.002389160832,-0.002262355713,-0.002255552863,-0.002315145827,-0.002316917289
4.1,-0.00190732,-0.00191335,-0.00188592,-0.0018869,-0.00184076,0.001994323433,-0.001866429857,-0.001858266438,-0.00189935565,-0.001895075297
4.2,-0.00154721,-0.00155277,-0.00152723,-0.00152824,-0.00148665,0.001639214676,-0.001512409556,-0.001506695163,-0.001534995018,-0.00153841549
4.3,-0.00124537,-0.00125047,-0.00122525,-0.00122662,-0.0011876,-0.001332814323,-0.001210907256,-0.001206281318,-0.001223152385,-0.001234475048
4.4,-0.00099502,-0.00099991,-0.000977,-0.00097824,-0.00093779,-0.001086006934,-0.000968997918,-0.00096273929664,-0.0009728075143,-0.0009872132283
4.5,-0.00078946,-0.00079427,-0.00077331,-0.0007746,-0.00073271,-0.0008928060012,-0.000780422923,-0.00077171527563,-0.0007768854415,-0.0007814487928
4.6,-0.00062228,-0.00062693,-0.00060628,-0.00060786,-0.00056805,-0.0007322587471,-0.000620419897,-0.00061144013552,-0.0006152497314,-0.0006146510816
4.7,-0.00048758,-0.0004921,-0.00047291,-0.00047442,-0.00043806,-0.0005904873583,-0.000481641762,-0.00047238988663,-0.0004767437105,-0.0004815138676
4.8,-0.00038013,-0.00038411,-0.00036655,-0.00036805,-0.00033453,-0.0004775600525,-0.000382592269,-0.00037007502649,-0.0003695307984,-0.0003739036706
4.9,-0.00029335,-0.00029728,-0.00027898,-0.00028077,-0.00025016,-0.0003855855238,-0.0003015023,-0.00028735237349,-0.0002851754615,-0.0002875346894
5.0,-0.0002249,-0.00022899,-0.00021139,-0.00021329,-0.00018237,-0.0003099378346,-0.000233473803,-0.0002176911924,-0.0002149700521,-0.0002207905698
