complex,type_geo,type_comp,hard,hard_gw,standard,standard_gw,soft,DZ,TZ,QZ,5Z
1,HB,E,-0.1637571,-0.16301239,-0.16933761,-0.16843614,-0.18005597,-0.1624721885,-0.1615483615,-0.16302975,-0.163015328
2,HB,E,-0.16709065,-0.16640516,-0.17282837,-0.17203698,-0.18444098,-0.1664801554,-0.1645935891,-0.1662545729,-0.1662066809
3,HB,E,-0.20785342,-0.20718819,-0.21179055,-0.21133323,-0.22381165,-0.2066267651,-0.2060379104,-0.2066373775,-0.2066300304
4,HB,E,-0.25746171,-0.25669154,-0.26444968,-0.26389715,-0.28019395,-0.2539748714,-0.2550954368,-0.256511518,-0.2565166882
5,HB,E,-0.15856438,-0.15741293,-0.16440251,-0.16354345,-0.17535182,-0.1567899041,-0.1559052615,-0.1576881524,-0.1577006697
6,HB,E,-0.19183104,-0.19126988,-0.19548233,-0.1950586,-0.20637077,-0.1903184294,-0.1899225035,-0.1906378912,-0.1906876881
7,HB,E,-0.23217657,-0.23149024,-0.2381372,-0.23772474,-0.25088231,-0.2283553393,-0.2292636558,-0.2311349837,-0.2312070939
8,HB,E,-0.15587486,-0.15469778,-0.16159666,-0.16062059,-0.17184202,-0.1535087536,-0.1535582784,-0.1551071512,-0.1551411655
9,HB,M,-0.04797285,-0.04775127,-0.04948959,-0.04939469,-0.05384679,-0.04847166504,-0.04692578546,-0.04763137704,-0.0476441664
10,HB,M,-0.04686452,-0.04657716,-0.04734542,-0.04750997,-0.05243288,-0.04562344791,-0.04582209112,-0.04631271264,-0.04632060395
11,HB,M,-0.07338712,-0.07307904,-0.07493404,-0.07525396,-0.08172088,-0.07293362428,-0.07218286179,-0.07295403283,-0.07299974798
12,HB,E,-0.20383998,-0.20310189,-0.20802717,-0.20757453,-0.22093399,-0.2025341706,-0.2020685836,-0.2025679128,-0.2025681849
13,HB,E,-0.14315132,-0.14239168,-0.14749127,-0.14701643,-0.15836397,-0.139912306,-0.1403174837,-0.1413175027,-0.1413321968
14,HB,E,-0.15614439,-0.15565993,-0.15671884,-0.15700236,-0.16508722,-0.1554500148,-0.1540105318,-0.154481289,-0.1545030582
15,HB,E,-0.20731669,-0.20676883,-0.21020014,-0.21045456,-0.22045564,-0.2041660382,-0.2039116117,-0.2052618413,-0.2052925902
16,HB,E,-0.15338149,-0.15243923,-0.1578428,-0.15717209,-0.16809263,-0.1501737246,-0.1508515605,-0.1516779707,-0.1517095359
17,HB,E,-0.56346148,-0.56092405,-0.5734669,-0.57363175,-0.60579485,-0.5514096124,-0.5568921651,-0.5604160413,-0.560506111
18,HB,E,-0.19953168,-0.19894379,-0.20388017,-0.20346212,-0.21699385,-0.19537594,-0.1976554389,-0.1983038866,-0.1983237509
19,HB,E,-0.18949508,-0.18882272,-0.19374307,-0.19331432,-0.20606442,-0.1849466271,-0.1875836838,-0.1882998878,-0.1883662836
20,HB,E,-0.68030116,-0.6786695,-0.69373413,-0.6941096,-0.72651004,-0.6621134749,-0.6747836465,-0.6789976037,-0.6793489029
21,HB,E,-0.53826743,-0.53702592,-0.54534278,-0.54587135,-0.57018733,-0.5330786535,-0.5344944626,-0.5381816071,-0.5382591596
